excerpt_id,paper_id,source_family,case_role,excerpt_index,source_title,primary_source,excerpt_kind,source_micro_excerpt,micro_excerpt_word_count,candidate_claim,human_gold_route_label,human_gold_template_id,post_admission_gold_action,current_expected_tool_decision,current_expected_reviewer_action,overclaim_hazard,reviewer_comment_gold,selection_rationale,gold_label_basis
PEV-015,P007,distribution_shift,external_excerpt,15,TableShift: Benchmarking Distribution Shift in Tabular Data,https://arxiv.org/abs/2312.07577,title_metadata_excerpt,TableShift,1,The tabular shift benchmark proves production reliability on future tables.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,benchmark to production reliability,Open admission only; production reliability requires a separate deployment claim and evidence.,overclaim boundary,tabular benchmark-to-deployment boundary
PEV-016,P008,domain_generalization,external_excerpt,16,In Search of Lost Domain Generalization,https://arxiv.org/abs/2007.01434,title_metadata_excerpt,Domain Generalization,2,The algorithm generalizes out of distribution in general.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,DG benchmark to generic OOD,Weaken to diagnostic evidence over the evaluated datasets and selection protocol.,overclaim boundary,OOD generality boundary
PEV-017,P022,uncertainty_shift,external_excerpt,17,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,https://arxiv.org/abs/1906.02530,title_metadata_excerpt,Uncertainty Under Dataset Shift,4,Uncertainty estimates can be trusted under arbitrary dataset shift.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,arbitrary shift trust,Do not license arbitrary trust; finite shift evidence is not enough for this claim.,hard negative,uncertainty-shift boundary
PEV-018,P030,conformal_shift,external_excerpt,18,Conformal Prediction under Covariate Shift,https://arxiv.org/abs/1904.06019,title_metadata_excerpt,Conformal Prediction under Covariate Shift,5,Covariate-shift conformal coverage applies without checking shift assumptions.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,assumption-free shift guarantee,Suppress unless the shift assumptions and weighting conditions are admitted.,hard negative,assumption-bound shift guarantee
PEV-019,P006,distribution_shift,external_excerpt,19,WILDS: A Benchmark of in-the-Wild Distribution Shifts,https://proceedings.mlr.press/v139/koh21a.html,title_metadata_excerpt,in-the-Wild Distribution Shifts,3,The model is ready for clinical or operational deployment.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,deployment readiness,Stop the claim runner; operational readiness is outside current metric-to-claim scope.,out of scope,deployment non-goal
PEV-020,P008,domain_generalization,external_excerpt,20,In Search of Lost Domain Generalization,https://arxiv.org/abs/2007.01434,title_metadata_excerpt,Domain Generalization,2,The implementation has no training or selection bug.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,code correctness,"Stop the claim runner; implementation correctness requires code audit, not claim licensing.",out of scope,code correctness non-goal
PEV-021,P009,robustness_benchmark,external_excerpt,21,RobustBench: a standardized adversarial robustness benchmark,https://arxiv.org/abs/2010.09670,title_metadata_excerpt,standardized adversarial robustness benchmark,4,Robust accuracy is bounded to the stated threat model and evaluation attack.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded threat-model claim,"Open a robustness adapter; accept only threat-model, norm, radius, and evaluator bounded wording.",robustness positive,source title plus threat model role
PEV-022,P015,behavioral_testing,external_excerpt,22,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,https://aclanthology.org/2020.acl-main.442/,title_metadata_excerpt,Behavioral Testing of NLP Models,5,A CheckList-style test diagnoses behavior on a named capability and test family.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded behavioral diagnostic,Open admission; claim should remain diagnostic for the named capability and tests.,behavioral positive,source title plus test-family role
PEV-023,P016,behavioral_robustness,external_excerpt,23,Robustness Gym: Unifying the NLP Evaluation Landscape,https://arxiv.org/abs/2101.04840,title_metadata_excerpt,Unifying the NLP Evaluation Landscape,5,A slice or transformation result supports a bounded robustness diagnostic.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded slice claim,Open admission; accept only slice/transformation-local wording.,slice positive,source title plus slice landscape role
PEV-024,P009,robustness_benchmark,external_excerpt,24,RobustBench: a standardized adversarial robustness benchmark,https://arxiv.org/abs/2010.09670,title_metadata_excerpt,RobustBench,1,The model is adversarially robust in general use.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,threat model to general use,Rewrite to robust accuracy under the specified threat model and evaluator.,overclaim boundary,threat-model boundary
PEV-025,P015,behavioral_testing,external_excerpt,25,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,https://aclanthology.org/2020.acl-main.442/,title_metadata_excerpt,Beyond Accuracy,2,The behavioral test proves the model understands the linguistic phenomenon.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,test pass to understanding,Weaken to a diagnostic behavior claim; do not infer understanding from this alone.,overclaim boundary,construct-validity boundary
PEV-026,P017,behavioral_testing,external_excerpt,26,Evaluating Models with Contrast Sets,https://arxiv.org/abs/2004.02709,title_metadata_excerpt,Contrast Sets,2,The contrast-set result proves robustness to all local perturbations.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,contrast set to all perturbations,Rewrite to the evaluated contrast set and perturbation design.,overclaim boundary,local perturbation boundary
PEV-027,P018,behavioral_testing,external_excerpt,27,Right for the Wrong Reasons: Diagnosing Syntactic Heuristics in NLI,https://arxiv.org/abs/1902.01007,title_metadata_excerpt,Syntactic Heuristics in NLI,4,Passing this heuristic test proves human-like internal representation.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,behavioral score to mechanistic claim,Suppress as a metric-to-mechanism jump unless a separate mechanistic adapter exists.,hard negative,mechanistic overclaim
PEV-028,P016,behavioral_robustness,external_excerpt,28,Robustness Gym: Unifying the NLP Evaluation Landscape,https://arxiv.org/abs/2101.04840,title_metadata_excerpt,Robustness Gym,2,The suite covers every relevant real-world failure mode.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,suite coverage completeness,Suppress comprehensive coverage language; the suite can only support enumerated tests.,hard negative,coverage completeness boundary
PEV-029,P009,robustness_benchmark,external_excerpt,29,RobustBench: a standardized adversarial robustness benchmark,https://arxiv.org/abs/2010.09670,title_metadata_excerpt,adversarial robustness benchmark,3,The defense is secure against all future adaptive attacks.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,future security guarantee,Stop the claim runner; future adaptive security requires security review beyond this tool.,out of scope,security non-goal
PEV-030,P018,behavioral_testing,external_excerpt,30,Right for the Wrong Reasons: Diagnosing Syntactic Heuristics in NLI,https://arxiv.org/abs/1902.01007,title_metadata_excerpt,Natural Language Inference,3,The model has a human-like internal representation.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,mechanistic representation,Stop the claim runner; mechanistic representation is outside current metric evidence.,out of scope,mechanistic non-goal
PEV-031,P010,language_benchmark,external_excerpt,31,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,https://arxiv.org/abs/1804.07461,title_metadata_excerpt,Multi-Task Benchmark and Analysis Platform,5,A GLUE-style score compares systems on the specified task set.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded benchmark score,"Open a benchmark adapter; accept task-set score wording, not broad cognition claims.",benchmark positive,source title plus task-set role
PEV-032,P011,language_benchmark,external_excerpt,32,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,https://arxiv.org/abs/1905.00537,title_metadata_excerpt,General-Purpose Language Understanding Systems,4,A SuperGLUE-style result is bounded to the benchmark tasks and metric.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded benchmark result,Open admission; keep the claim to the specified benchmark tasks and scoring protocol.,benchmark positive,source title plus benchmark task role
PEV-033,P040,benchmark_validity,external_excerpt,33,BetterBench: Assessing and Improving Benchmark Lifecycle Practices,https://papers.nips.cc/paper_files/paper/2024/hash/26889e8359e7ef8a7f5d77457364ca55-Abstract-Datasets_and_Benchmarks_Track.html,title_metadata_excerpt,Benchmark Lifecycle Practices,3,A benchmark-lifecycle audit can identify bounded construct-validity limitations.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded validity critique,Open admission; accept a bounded lifecycle/validity critique if the evidence anchor is explicit.,validity positive,source title plus benchmark lifecycle role
PEV-034,P010,language_benchmark,external_excerpt,34,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,https://arxiv.org/abs/1804.07461,title_metadata_excerpt,Language Understanding,2,The benchmark score proves general language understanding.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,score to broad capability,Weaken to task-family diagnostic evidence; do not license general understanding.,overclaim boundary,construct-validity boundary
PEV-035,P013,llm_evaluation,external_excerpt,35,Measuring Massive Multitask Language Understanding,https://arxiv.org/abs/2009.03300,title_metadata_excerpt,Massive Multitask Language Understanding,4,A high MMLU score proves expert-level reasoning across all domains.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,multi-task score to universal reasoning,Rewrite to evaluated subjects and aggregation policy.,overclaim boundary,task aggregation boundary
PEV-036,P014,llm_evaluation,external_excerpt,36,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,https://arxiv.org/abs/2206.04615,title_metadata_excerpt,extrapolating the capabilities of language models,6,Capability extrapolation proves future model behavior.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,extrapolation to future guarantee,Weaken to the observed scaling setup and measured tasks.,overclaim boundary,future prediction boundary
PEV-037,P019,benchmark_validity,external_excerpt,37,What Will it Take to Fix Benchmarking in Natural Language Understanding?,https://arxiv.org/abs/2104.02145,title_metadata_excerpt,Fix Benchmarking in Natural Language Understanding,6,The benchmark is invalid for all future model evaluation.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,validity critique to universal invalidity,Weaken to the documented construct-validity limitations.,hard negative,benchmark-validity boundary
PEV-038,P040,benchmark_validity,external_excerpt,38,BetterBench: Assessing and Improving Benchmark Lifecycle Practices,https://papers.nips.cc/paper_files/paper/2024/hash/26889e8359e7ef8a7f5d77457364ca55-Abstract-Datasets_and_Benchmarks_Track.html,title_metadata_excerpt,Assessing and Improving Benchmark Lifecycle Practices,6,A lifecycle checklist proves every benchmark result is scientifically valid.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,checklist to universal validity,"Suppress universal validity language; lifecycle evidence is diagnostic, not decisive.",hard negative,validity overclaim
PEV-039,P011,language_benchmark,external_excerpt,39,SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,https://arxiv.org/abs/1905.00537,title_metadata_excerpt,Language Understanding Systems,3,The benchmark proves human-like reasoning ability.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,cognitive claim,Stop the claim runner; human-like reasoning needs separate construct evidence.,out of scope,cognitive non-goal
PEV-040,P019,benchmark_validity,external_excerpt,40,What Will it Take to Fix Benchmarking in Natural Language Understanding?,https://arxiv.org/abs/2104.02145,title_metadata_excerpt,Fix Benchmarking,2,The paper should be accepted because it criticizes benchmarks.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,acceptance judgment,Stop the claim runner; acceptance judgment is outside this component.,out of scope,paper-level judgment non-goal
PEV-041,P021,calibration,external_excerpt,41,On Calibration of Modern Neural Networks,https://arxiv.org/abs/1706.04599,title_metadata_excerpt,Calibration of Modern Neural Networks,5,The calibration metric improves on the evaluated dataset under the stated protocol.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded calibration metric,Open a calibration adapter; accept only dataset/protocol-bounded calibration wording.,calibration positive,source title plus metric role
PEV-042,P023,uncertainty,external_excerpt,42,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,https://arxiv.org/abs/1612.01474,title_metadata_excerpt,Predictive Uncertainty Estimation using Deep Ensembles,6,The ensemble improves uncertainty estimates on the evaluated benchmark.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded uncertainty metric,Open admission; keep the claim to evaluated uncertainty metrics and benchmarks.,uncertainty positive,source title plus benchmark role
PEV-043,P022,uncertainty_shift,external_excerpt,43,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,https://arxiv.org/abs/1906.02530,title_metadata_excerpt,Uncertainty Under Dataset Shift,4,The uncertainty result is bounded to the evaluated shift type and metric.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded uncertainty shift,Open admission; accept only shift-type and metric bounded wording.,uncertainty shift positive,source title plus shift role
PEV-044,P021,calibration,external_excerpt,44,On Calibration of Modern Neural Networks,https://arxiv.org/abs/1706.04599,title_metadata_excerpt,Calibration of Modern Neural Networks,5,The model confidence is reliable for individual deployment decisions.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,marginal calibration to individual reliability,Rewrite to aggregate calibration under the stated dataset and protocol.,overclaim boundary,marginal-to-individual boundary
PEV-045,P023,uncertainty,external_excerpt,45,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,https://arxiv.org/abs/1612.01474,title_metadata_excerpt,Deep Ensembles,2,The ensemble detects all out-of-distribution inputs reliably.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,uncertainty to all OOD detection,Rewrite to evaluated OOD settings and metrics.,overclaim boundary,OOD detection boundary
PEV-046,P022,uncertainty_shift,external_excerpt,46,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,https://arxiv.org/abs/1906.02530,title_metadata_excerpt,Trust Your Model Uncertainty,4,The model can be trusted under arbitrary dataset shift.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,arbitrary shift trust,Suppress arbitrary trust wording; finite shift evaluation is not enough.,hard negative,shift trust boundary
PEV-047,P021,calibration,external_excerpt,47,On Calibration of Modern Neural Networks,https://arxiv.org/abs/1706.04599,title_metadata_excerpt,Calibration,1,Lower ECE guarantees correct confidence for every subgroup.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,global metric to subgroup guarantee,Weaken to global calibration unless subgroup evidence and template are admitted.,overclaim boundary,global-to-subgroup boundary
PEV-048,P023,uncertainty,external_excerpt,48,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,https://arxiv.org/abs/1612.01474,title_metadata_excerpt,Predictive Uncertainty,2,The uncertainty score certifies safe deployment in every downstream task.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,metric to deployment safety,Suppress deployment certification wording.,hard negative,deployment safety boundary
PEV-049,P022,uncertainty_shift,external_excerpt,49,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,https://arxiv.org/abs/1906.02530,title_metadata_excerpt,Dataset Shift,2,The uncertainty method is safe for clinical triage.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,clinical safety,Stop the claim runner; clinical safety is outside metric-to-claim audit.,out of scope,clinical non-goal
PEV-050,P023,uncertainty,external_excerpt,50,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,https://arxiv.org/abs/1612.01474,title_metadata_excerpt,Deep Ensembles,2,The ensemble architecture is biologically plausible.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,biological analogy,Stop the claim runner; biological plausibility is not a metric claim.,out of scope,mechanistic analogy non-goal
PEV-051,P024,selective_prediction,external_excerpt,51,Selective Classification for Deep Neural Networks,https://papers.neurips.cc/paper/7073-selective-classification-for-deep-neural-networks,title_metadata_excerpt,Selective Classification for Deep Neural Networks,6,The reported risk is bounded to the selected subset and coverage level.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded risk-coverage,Open a selective-prediction adapter; accept risk-at-coverage wording only.,selective positive,source title plus risk-coverage role
PEV-052,P026,conformal_prediction,external_excerpt,52,Uncertainty Sets for Image Classifiers using Conformal Prediction,https://arxiv.org/abs/2009.14193,title_metadata_excerpt,Conformal Prediction,2,The conformal method provides marginal coverage under stated calibration assumptions.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded marginal coverage,Open admission; keep the claim to marginal coverage and assumptions.,conformal positive,source title plus coverage role
PEV-053,P027,conformal_prediction,external_excerpt,53,Distribution-Free Risk Controlling Prediction Sets,https://arxiv.org/abs/2101.02703,title_metadata_excerpt,Risk Controlling Prediction Sets,4,The prediction set controls the declared risk under the stated procedure.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded risk control,Open admission; accept only declared risk/procedure wording.,risk-control positive,source title plus risk role
PEV-054,P024,selective_prediction,external_excerpt,54,Selective Classification for Deep Neural Networks,https://papers.neurips.cc/paper/7073-selective-classification-for-deep-neural-networks,title_metadata_excerpt,Selective Classification,2,The classifier has low deployment error on all inputs.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,selected subset to all inputs,Rewrite from all-input deployment error to selected-subset risk at coverage.,overclaim boundary,selected-to-full boundary
PEV-055,P026,conformal_prediction,external_excerpt,55,Uncertainty Sets for Image Classifiers using Conformal Prediction,https://arxiv.org/abs/2009.14193,title_metadata_excerpt,Uncertainty Sets for Image Classifiers,5,Each individual prediction is guaranteed correct at the nominal probability.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,marginal to individual guarantee,Rewrite to marginal coverage; do not license individual correctness.,overclaim boundary,marginal-to-individual boundary
PEV-056,P029,conformal_prediction,external_excerpt,56,Conformalized Quantile Regression,https://arxiv.org/abs/1905.03222,title_metadata_excerpt,Conformalized Quantile Regression,3,The interval coverage is conditionally valid for every subgroup.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,marginal to conditional validity,Weaken to marginal coverage unless subgroup conditional validity is admitted.,overclaim boundary,conditional-validity boundary
PEV-057,P031,conformal_limits,external_excerpt,57,Limits of Distribution-Free Conditional Predictive Inference,https://arxiv.org/abs/1903.04684,title_metadata_excerpt,Limits of Distribution-Free Conditional Predictive Inference,6,Distribution-free conditional validity is guaranteed without assumptions.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,impossible conditional guarantee,Suppress assumption-free conditional validity wording.,hard negative,conditional validity limit
