path,role,required,public_safe,raw_data,notes
data/wdc_unified_stability_display_20260519/model_seed_not_reportable_display.csv,WDC depth data,yes,yes,no,Six-matrix main empirical-depth display source
data/wdc_unified_stability_display_20260519/model_seed_counts_display.csv,WDC depth counts,yes,yes,no,Six-matrix count support
data/official_backup_full_matrix_readout_20260520/target_group_summary.csv,official support data,yes,yes,no,Support-only protocol-sensitivity group summary
data/walmart_amazon_r2_scenario_summary.csv,held-out support data,yes,yes,no,Bounded Walmart-Amazon scenario summary
data/nab_adapter_visual_passport_rows_20260519.csv,adapter support data,yes,yes,no,Support-only NAB adapter passport rows
reports/paragraph_claim_span_router_external_eval_guided_20260521/noisy_claim_span_router_items.csv,reviewer demo selected paragraph items,yes,yes,no,Public-safe selected paragraph routing fixture items for reviewer demo regeneration
reports/paragraph_claim_span_router_external_eval_guided_20260521/noisy_claim_span_router_decisions.csv,reviewer demo selected paragraph decisions,yes,yes,no,Public-safe selected paragraph route decisions for reviewer demo regeneration
reports/paragraph_claim_span_router_external_eval_guided_20260521/noisy_claim_span_router_summary.json,reviewer demo selected paragraph summary,yes,yes,no,Public-safe selected paragraph route summary for reviewer demo regeneration
reports/paragraph_claim_span_router_holdout_eval_guided_20260521/noisy_claim_span_router_items.csv,reviewer demo holdout paragraph items,yes,yes,no,Public-safe holdout paragraph routing fixture items for reviewer demo regeneration
reports/paragraph_claim_span_router_holdout_eval_guided_20260521/noisy_claim_span_router_decisions.csv,reviewer demo holdout paragraph decisions,yes,yes,no,Public-safe holdout paragraph route decisions for reviewer demo regeneration
reports/paragraph_claim_span_router_holdout_eval_guided_20260521/noisy_claim_span_router_summary.json,reviewer demo holdout paragraph summary,yes,yes,no,Public-safe holdout paragraph route summary for reviewer demo regeneration
reports/frontend_fulltext_phase1_claim_span_gold_readout_20260523/frontend_fulltext_phase1_claim_span_gold_readout_summary.json,fulltext claim-span gold readout summary,yes,yes,no,Public-safe summary for 80-row adjudicated claim-span boundary readout
reports/frontend_fulltext_phase1_claim_span_gold_readout_20260523/frontend_fulltext_phase1_claim_span_gold_readout_report.md,fulltext claim-span gold readout report,yes,yes,no,Public-safe report for 37-paper 21-family claim-span adapter-boundary readout
reports/frontend_fulltext_phase1_claim_span_gold_readout_20260523/frontend_fulltext_phase1_claim_span_gold_readout_rows.csv,fulltext claim-span gold readout rows,yes,yes,no,Public-safe row-level adjudicated claim-span boundary readout
reports/frontend_fulltext_phase1_claim_span_strict_agreement_20260523/frontend_fulltext_phase1_claim_span_agreement_summary.json,fulltext claim-span strict agreement summary,yes,yes,no,Public-safe summary for paired A/B claim-span agreement metrics
reports/frontend_fulltext_phase1_claim_span_strict_agreement_20260523/frontend_fulltext_phase1_claim_span_agreement_report.md,fulltext claim-span strict agreement report,yes,yes,no,Public-safe report for paired A/B claim-span agreement metrics and gates
reports/frontend_fulltext_phase1_claim_span_strict_agreement_20260523/frontend_fulltext_phase1_claim_span_adjudication_candidates.csv,fulltext claim-span adjudication candidates,yes,yes,no,Public-safe adjudication-candidate rows for claim-span agreement limitations
reports/frontend_fulltext_phase1_claim_span_strict_agreement_20260523/frontend_fulltext_phase1_claim_span_annotator_row_scores.csv,fulltext claim-span annotator row scores,yes,yes,no,Public-safe paired annotator row scores for agreement audit
reports/frontend_fulltext_phase1_claim_span_strict_agreement_20260523/frontend_fulltext_phase1_claim_span_pair_overlap.csv,fulltext claim-span pair overlap rows,yes,yes,no,Public-safe paired span-overlap rows for agreement audit
reports/claim_span_adapter_admission_case_study_20260523/claim_span_adapter_admission_summary.json,claim-span adapter admission summary,yes,yes,no,Public-safe summary for three-family controlled adapter admission case study
reports/claim_span_adapter_admission_case_study_20260523/claim_span_adapter_admission_report.md,claim-span adapter admission report,yes,yes,no,Public-safe report for controlled adapter admission and structural checks
reports/claim_span_adapter_admission_case_study_20260523/claim_span_adapter_admission_rows.csv,claim-span adapter admission rows,yes,yes,no,Public-safe row-level controlled adapter admission outputs
reports/claim_span_adapter_admission_case_study_20260523/claim_span_adapter_admission_passport_rows.csv,claim-span adapter admission passport rows,yes,yes,no,Public-safe emitted passport rows for controlled adapter admission
reports/claim_span_adapter_admission_case_study_20260523/claim_span_adapter_admission_checks.csv,claim-span adapter admission checks,yes,yes,no,Public-safe check results for controlled adapter admission
paper/figures/figure1_claim_projection_workflow_20260520.svg,workflow figure,yes,yes,no,Main workflow display source
paper/figures/figure2_wdc_six_matrix_heatmap_20260520.svg,WDC figure,yes,yes,no,Main empirical-depth display source
paper/APPENDIX_C_RESOURCE_RELEASE.md,release appendix,yes,yes,no,Work-use release and source posture ledger
paper/REVIEWER_AUDIT_DEMO_USE_PROTOCOL_20260521.md,reviewer audit demo use protocol,yes,yes,no,Public-safe protocol defining human LLM and deterministic tool roles plus non-goals
paper/PAPER_EXCERPT_REVIEWER_VALUE_BENCHMARK_20260521.md,paper-excerpt decision-surface benchmark readout,yes,yes,no,Public-safe readout for selected-excerpt decision-surface benchmark and transparent baseline
artifact/real_paper_review_template_cards_v18_20260606.csv,real-paper template cards,yes,yes,no,Public-safe V1.8-backed template cards for LLM evaluation resource documentation and uncertainty calibration families
artifact/real_paper_review_source_manifest_v318b_20260606.csv,real-paper source manifest,yes,yes,no,Public-safe manifest for 18 public arXiv source papers used by the real-paper template review addendum
artifact/real_paper_review_candidate_claims_v318b_20260606.csv,real-paper candidate claim packet,yes,yes,no,Public-safe 72-row supplied candidate claim packet with short source-span excerpts for registered-template trial
artifact/real_paper_review_reference_outcomes_v318b_20260606.csv,real-paper reference outcomes,yes,yes,no,Public-safe reference and conservative replay outcomes for the 72-row real-paper template review addendum
artifact/real_paper_review_evidence_summary_v318b_20260606.json,real-paper evidence summary,yes,yes,no,Public-safe aggregate summary and limitations for the real-paper template review addendum
artifact/real_paper_review_public_manifest_v318b_20260606.json,real-paper addendum file manifest,yes,yes,no,Public-safe file hashes and release-root paths for real-paper addendum assets
artifact/real_paper_review_llm_prompt_20260606.md,real-paper LLM adjudication prompt,yes,yes,no,Clean public-safe prompt for LLM-assisted adjudication of the real-paper candidate packet without gold labels
docs/REAL_PAPER_REVIEW_DEMO.md,real-paper demo guide,yes,yes,no,Reviewer-facing guide for running and interpreting the three-family real-paper template review demo
src/run_real_paper_review_demo.py,real-paper demo runner,yes,yes,no,Standard-library runner that validates and reports the 72-row real-paper registered-template addendum and optional adjudications
reports/real_paper_review_demo_20260606/real_paper_review_demo_report.md,real-paper demo generated report,yes,yes,no,Public-safe generated Markdown report for the real-paper template review demo
reports/real_paper_review_demo_20260606/real_paper_review_demo_decisions.csv,real-paper demo generated decisions,yes,yes,no,Public-safe generated decision table for the real-paper template review demo
reports/real_paper_review_demo_20260606/real_paper_review_demo_summary.json,real-paper demo generated summary,yes,yes,no,Public-safe generated aggregate summary for the real-paper template review demo
reports/real_paper_review_demo_20260606/real_paper_review_demo_checks.csv,real-paper demo generated checks,yes,yes,no,Public-safe generated check table for the real-paper template review demo
reports/claim_template_admission_20260521/claim_template_admission_checks.csv,claim-template admission generated checks,yes,yes,no,Public-safe generated check table for the claim-template admission report
reports/claim_template_admission_20260521/claim_template_admission_report.html,claim-template admission generated HTML report,yes,yes,no,Public-safe generated HTML report for claim-template admission
reports/claim_template_admission_20260521/claim_template_admission_report.md,claim-template admission generated Markdown report,yes,yes,no,Public-safe generated Markdown report for claim-template admission
reports/claim_template_admission_20260521/claim_template_admission_summary.json,claim-template admission generated summary,yes,yes,no,Public-safe generated aggregate summary for claim-template admission
reports/claim_template_admission_20260521/claim_template_admission_verdicts.csv,claim-template admission generated verdicts,yes,yes,no,Public-safe generated verdict table for claim-template admission
