row_id,source_id,family,template_id,boundary_case_type,reference_candidate_release_safe,reference_display_action,reference_reportability_gate,reference_reason_code,reference_suggested_rewrite,conservative_candidate_release_safe,conservative_display_action,conservative_reportability_gate,conservative_reason_code,channel_actions,channel_safeties,outcome_version
V317B-LLM-018,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Across evaluated models, the more consistent pattern was a sharp rise in deflection, where responses were neither harmful completions nor explicit refusals.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-019,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The paper introduces TukaBench as a jailbreak benchmark for seven African languages that extends JailbreakBench beyond direct translation through four settings.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-020,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-021,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-022,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"In RUT-Bench experiments, no tested LLM exceeded 40% overall success, and nearly all dropped under more complicated non-ideal user inputs.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-023,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,RUT-Bench uses deterministic Python class environments that abstract away the operational friction of real-world external APIs.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-LLM-024,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,SUPPRESS|SUPPRESS|SUPPRESS,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-001,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-002,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"After validation and deduplication, the SemRepo construction pipeline obtained 197,566 unique repository URLs.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,BLOCK_AND_SUGGEST|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-003,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"SemRepo links 11,867 contributors, approximately 6% of all persons in SemRepo, enabling joint analysis of software development activity and bibliometric author profiles.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-004,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,SUPPRESS|SUPPRESS|SUPPRESS,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-005,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-006,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Among the surveyed materials science journals, 98% had a research data policy and 95% mentioned a data availability statement.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,ACCEPT|WEAKEN|ACCEPT,yes|no|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-007,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"In the surveyed journals, code sharing was encouraged but optional for 70% and required for only 1.8%.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-008,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-009,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-010,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"Participants found ERSmeta's elements useful and relevant, but identified the high number of elements and system complexity as significant drawbacks.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-011,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,ERSmeta consists of 86 top-level elements clustered into ten thematic areas.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-012,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-013,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-014,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The paper reports that resources required to reproduce and extend the work are openly available in a curated Mendeley Data repository.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-015,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The GitHub Repository Extraction pipeline crawled 37,176 repositories and selected 4,610 based on predefined inclusion criteria.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-016,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-017,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-018,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"OpenDORS v2025-11 contains 134,352 research software projects based on repository URLs mined from 2,656,582 PMC, ArXiv, and JOSS publications.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,BLOCK_AND_SUGGEST|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-019,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The authors release the OpenDORS dataset and construction workflow under an open license, and also release the open-source Python package opendors2 implementing the construction logic.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-020,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-021,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-022,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"The Software Observatory initially ingests metadata from registries such as bio.tools, Bioconda, Bioconductor, Galaxy ToolShed, bioinformatics-tagged SourceForge, and Galaxy Europe.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-023,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The Software Observatory initially collected over 65,942 metadata records from major Life Sciences registries, including bio.tools, Bioconda, and the Galaxy ToolShed.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,BLOCK_AND_SUGGEST|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-RES-024,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,SUPPORT_ONLY|SUPPORT_ONLY|SUPPORT_ONLY,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-001,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-002,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,ORCE uses a sampling-based surrogate of correctness likelihood to supervise verbalized confidence without relying on internal model probabilities.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-003,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"ORCE's practical algorithm uses SC to construct preference pairs, and DPO performs a smoothed preference-optimization step rather than directly maximizing expected SC reward.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-004,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-005,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-006,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"The method uses self-consistency offline on unlabeled data to construct supervision for a single-pass confidence predictor, reducing inference-time use to a single generation.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-007,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The evaluation covers 36 model/dataset combinations: 9 models on 2 math datasets and 6 models on 3 QA datasets.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-008,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-009,V34H-UNC-003,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-010,V34H-UNC-003,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The fused confidence method primarily functions as a post-hoc recalibration tool and yields substantial ECE reductions across most benchmarks.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-011,V34H-UNC-003,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The fusion method's AUROC and AUPRC-N improvements are inconsistent and highly model-sensitive.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-012,V34H-UNC-003,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-013,V34H-UNC-004,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-014,V34H-UNC-004,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,Global-threshold conformal prediction for LLMs can over- or under-cover specific inputs despite valid marginal guarantees.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
