row_id,source_id,family,template_id,title,source_url,section_locator,candidate_claim,reference_safe,reference_action,reference_gate,reference_reason,reference_rewrite,conservative_safe,conservative_action,conservative_gate,conservative_reason,conservative_safe_correct,conservative_action_correct,conservative_gate_correct,conservative_unsafe_false_release
V317B-LLM-011,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Abstract,SenseBench was built from single-turn synthetic prompts rather than real-world multi-turn interactions.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The paper proposes SenseBench as a diverse instruction-following benchmark derived from real-world multi-turn interactions.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-LLM-012,V34H-LLM-003,llm_evaluation,TPL-LLM-EVAL-V18,SenseJudge: Human-Centric Preference-Driven Judgment Framework,https://arxiv.org/abs/2606.03189,Introduction,SenseBench's coverage of eight common topics gives background context for interpreting SenseJudge evaluations.,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-LLM-013,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,Mitigating Perceptual Judgment Bias in Multimodal LLM-as-a-Judge via Perceptual Perturbation and Reward Modeling,https://arxiv.org/abs/2606.02578,Abstract,The paper claims MLLM judges tend to favor plausible text over perceptually correct answers when visual evidence conflicts with textual cues.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-014,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,Mitigating Perceptual Judgment Bias in Multimodal LLM-as-a-Judge via Perceptual Perturbation and Reward Modeling,https://arxiv.org/abs/2606.02578,Section 4.2 Performance Evaluation,The proposed method delivers double-digit improvements over Qwen3-VL-4B-Thinking in both pairwise and batch-level evaluations.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The proposed method is reported to improve over Qwen3-VL-4B-Thinking by 4% in pairwise evaluation and 11% in batch-level evaluation.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
V317B-LLM-015,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,Mitigating Perceptual Judgment Bias in Multimodal LLM-as-a-Judge via Perceptual Perturbation and Reward Modeling,https://arxiv.org/abs/2606.02578,Section 4.3 Ablation Study,The ablation shows MMPR-v1.2 is the better training data than PPJD across all measured metrics.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The ablation reports that using PPJD instead of MMPR-v1.2 as training data improves all measured metrics.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-LLM-016,V34H-LLM-004,llm_evaluation,TPL-LLM-EVAL-V18,Mitigating Perceptual Judgment Bias in Multimodal LLM-as-a-Judge via Perceptual Perturbation and Reward Modeling,https://arxiv.org/abs/2606.02578,Table 1,Table 1 proves visual-language judges understand human preferences better than human annotators.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
V317B-LLM-017,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,TukaBench: A Culturally Grounded Jailbreak Benchmark for African Languages,https://arxiv.org/abs/2606.01322,Section 3 TukaBench,"TukaBench contains 986 prompts per African language across seven African languages, with African-language prompts machine-translated and human post-edited.",yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-018,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,TukaBench: A Culturally Grounded Jailbreak Benchmark for African Languages,https://arxiv.org/abs/2606.01322,Section 5.1 Direct Prompting Results,"Across evaluated models, African-language prompting produced the same sharp rise in deflection for every model.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Across evaluated models, the more consistent pattern was a sharp rise in deflection, where responses were neither harmful completions nor explicit refusals.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-LLM-019,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,TukaBench: A Culturally Grounded Jailbreak Benchmark for African Languages,https://arxiv.org/abs/2606.01322,Abstract,TukaBench is only a direct translation of JailbreakBench into seven African languages.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The paper introduces TukaBench as a jailbreak benchmark for seven African languages that extends JailbreakBench beyond direct translation through four settings.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-LLM-020,V34H-LLM-005,llm_evaluation,TPL-LLM-EVAL-V18,TukaBench: A Culturally Grounded Jailbreak Benchmark for African Languages,https://arxiv.org/abs/2606.01322,Conclusion,Judge-human agreement concerns are relevant background for interpreting TukaBench results in lower-resource and non-Latin-script languages.,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-LLM-021,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,Beyond Ideal Instruction: A Comprehensive Framework for Evaluating LLMs in Realistic Interactions,https://arxiv.org/abs/2606.03318,Section 4 RUT-Bench,"RUT-Bench consists of 1,638 test samples across 59 executable tool-use environments in multiple domains.",yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-LLM-022,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,Beyond Ideal Instruction: A Comprehensive Framework for Evaluating LLMs in Realistic Interactions,https://arxiv.org/abs/2606.03318,Abstract,RUT-Bench shows all current LLMs fail below 40% overall success in real-world tool use.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"In RUT-Bench experiments, no tested LLM exceeded 40% overall success, and nearly all dropped under more complicated non-ideal user inputs.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-LLM-023,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,Beyond Ideal Instruction: A Comprehensive Framework for Evaluating LLMs in Realistic Interactions,https://arxiv.org/abs/2606.03318,Limitations,"RUT-Bench directly measures live external API latency, rate limits, and backend changes.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,RUT-Bench uses deterministic Python class environments that abstract away the operational friction of real-world external APIs.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-LLM-024,V34H-LLM-006,llm_evaluation,TPL-LLM-EVAL-V18,Beyond Ideal Instruction: A Comprehensive Framework for Evaluating LLMs in Realistic Interactions,https://arxiv.org/abs/2606.03318,Abstract,RUT-Bench proves tool-calling LLMs can autonomously complete real users' tasks without human oversight.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,True,True,True,False
V317B-RES-001,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,SemRepo: A Knowledge Graph for Research Software and Its Scholarly Ecosystem,https://arxiv.org/abs/2605.13310,Abstract,"SemRepo is an RDF knowledge graph with over 81 million triples describing nearly 200,000 GitHub repositories associated with scientific research.",yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-002,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,SemRepo: A Knowledge Graph for Research Software and Its Scholarly Ecosystem,https://arxiv.org/abs/2605.13310,Section 3.1 SemRepo Construction,SemRepo's construction pipeline fully enumerates all GitHub repositories associated with scientific research.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"After validation and deduplication, the SemRepo construction pipeline obtained 197,566 unique repository URLs.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-RES-003,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,SemRepo: A Knowledge Graph for Research Software and Its Scholarly Ecosystem,https://arxiv.org/abs/2605.13310,Section 3.3 Linkage to External Scholarly Knowledge Graphs,SemRepo links every contributor in the graph to a SemOpenAlex author profile.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"SemRepo links 11,867 contributors, approximately 6% of all persons in SemRepo, enabling joint analysis of software development activity and bibliometric author profiles.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-004,V34H-RES-001,resource_documentation,TPL-RESOURCE-DOC-V18,SemRepo: A Knowledge Graph for Research Software and Its Scholarly Ecosystem,https://arxiv.org/abs/2605.13310,"Abstract, project resources",SemRepo should be treated as a mandatory audit standard for conference reviewers assessing research software.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,True,True,True,False
V317B-RES-005,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,Journal Research Data Policies in Materials Science,https://arxiv.org/abs/2603.19301,Abstract,The study surveys research data policies for 171 materials science journals across 17 publishers using an expanded data-and-code coding framework.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-006,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,Journal Research Data Policies in Materials Science,https://arxiv.org/abs/2603.19301,"Section II Results, Data policies",Nearly all materials science journals have research data policies and data availability statements.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Among the surveyed materials science journals, 98% had a research data policy and 95% mentioned a data availability statement.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-RES-007,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,Journal Research Data Policies in Materials Science,https://arxiv.org/abs/2603.19301,"Section II Results, Code policies",Code sharing is required by 70% of the surveyed materials science journals.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"In the surveyed journals, code sharing was encouraged but optional for 70% and required for only 1.8%.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-008,V34H-RES-002,resource_documentation,TPL-RESOURCE-DOC-V18,Journal Research Data Policies in Materials Science,https://arxiv.org/abs/2603.19301,Abstract,"Open and reproducible materials-science research depends on the availability of data, code, and common metadata standards.",no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-RES-009,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,Towards a Metadata Schema for Energy Research Software,https://arxiv.org/abs/2601.09456,Abstract,The paper develops an energy research software metadata schema from requirement analysis and evaluates it through user testing.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-010,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,Towards a Metadata Schema for Energy Research Software,https://arxiv.org/abs/2601.09456,Evaluation of the Metadata Schema,User testing showed that ERSmeta was straightforward for participants and had no meaningful usability drawbacks.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"Participants found ERSmeta's elements useful and relevant, but identified the high number of elements and system complexity as significant drawbacks.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-011,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,Towards a Metadata Schema for Energy Research Software,https://arxiv.org/abs/2601.09456,Metadata Schema: ERSmeta,ERSmeta consists of ten top-level elements clustered into 86 thematic areas.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,ERSmeta consists of 86 top-level elements clustered into ten thematic areas.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-012,V34H-RES-003,resource_documentation,TPL-RESOURCE-DOC-V18,Towards a Metadata Schema for Energy Research Software,https://arxiv.org/abs/2601.09456,Introduction,"Domain-specific metadata schemas motivate work on improving findability, reusability, and FAIR4RS alignment for research software.",no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-RES-013,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,Evidence-Driven Decision Support for AI Model Selection in Research Software Engineering,https://arxiv.org/abs/2512.11984,"Abstract, Method","The paper frames AI model selection as an MCDM problem and proposes an evidence-based framework combining automated data collection, a knowledge graph, and MCDM principles.",yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-014,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,Evidence-Driven Decision Support for AI Model Selection in Research Software Engineering,https://arxiv.org/abs/2512.11984,"Introduction, Resources",The open Mendeley Data repository independently guarantees that every result in the paper is reproducible and extensible.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,The paper reports that resources required to reproduce and extend the work are openly available in a curated Mendeley Data repository.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-RES-015,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,Evidence-Driven Decision Support for AI Model Selection in Research Software Engineering,https://arxiv.org/abs/2512.11984,Section 4.1 Pipeline Results,"The GitHub Repository Extraction pipeline selected 37,176 repositories and crawled 4,610.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The GitHub Repository Extraction pipeline crawled 37,176 repositories and selected 4,610 based on predefined inclusion criteria.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-016,V34H-RES-004,resource_documentation,TPL-RESOURCE-DOC-V18,Evidence-Driven Decision Support for AI Model Selection in Research Software Engineering,https://arxiv.org/abs/2512.11984,Section 6.3.2 External Validity,The current ModelSelect implementation should be applied unchanged across all research-software language ecosystems.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
V317B-RES-017,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,OpenDORS: A dataset of openly referenced open research software,https://arxiv.org/abs/2512.01570,Abstract,"OpenDORS presents 134,352 unique open research software projects and 134,154 source code repositories referenced in open-access literature.",yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-018,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,OpenDORS: A dataset of openly referenced open research software,https://arxiv.org/abs/2512.01570,Section 4 The OpenDORS dataset,OpenDORS v2025-11 is a complete census of all open research software projects across the scholarly record.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"OpenDORS v2025-11 contains 134,352 research software projects based on repository URLs mined from 2,656,582 PMC, ArXiv, and JOSS publications.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-RES-019,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,OpenDORS: A dataset of openly referenced open research software,https://arxiv.org/abs/2512.01570,Introduction,"The authors release only the OpenDORS dataset, without releasing the construction workflow or implementation package.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The authors release the OpenDORS dataset and construction workflow under an open license, and also release the open-source Python package opendors2 implementing the construction logic.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-RES-020,V34H-RES-005,resource_documentation,TPL-RESOURCE-DOC-V18,OpenDORS: A dataset of openly referenced open research software,https://arxiv.org/abs/2512.01570,Section 6 Limitations,OpenDORS can be used to benchmark closed-source and unshared research software projects.,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
V317B-RES-021,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,The Software Observatory: aggregating and analysing software metadata for trend computation and FAIR assessment,https://arxiv.org/abs/2510.05705,Abstract,The Software Observatory is an OpenEBench web portal that consolidates software metadata from multiple sources for research software analysis.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-RES-022,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,The Software Observatory: aggregating and analysing software metadata for trend computation and FAIR assessment,https://arxiv.org/abs/2510.05705,"Section 2.1 Metadata extraction, normalisation, and enrichment",The Software Observatory permanently ingests metadata from all research software registries across all domains.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"The Software Observatory initially ingests metadata from registries such as bio.tools, Bioconda, Bioconductor, Galaxy ToolShed, bioinformatics-tagged SourceForge, and Galaxy Europe.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-RES-023,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,The Software Observatory: aggregating and analysing software metadata for trend computation and FAIR assessment,https://arxiv.org/abs/2510.05705,"Results, Software metadata collection","The Software Observatory initially collected exactly 65,942 software metadata records from all scientific registries.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The Software Observatory initially collected over 65,942 metadata records from major Life Sciences registries, including bio.tools, Bioconda, and the Galaxy ToolShed.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,False,False,False
V317B-RES-024,V34H-RES-006,resource_documentation,TPL-RESOURCE-DOC-V18,The Software Observatory: aggregating and analysing software metadata for trend computation and FAIR assessment,https://arxiv.org/abs/2510.05705,Introduction,Software metadata provides background motivation for evaluating research software FAIRness in Life Sciences and other scientific domains.,no,SUPPORT_ONLY,support_only_context,source_background_only,,no,SUPPORT_ONLY,support_only_context,source_background_only,True,True,True,False
V317B-UNC-001,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,ORCE: Order-Aware Alignment of Verbalized Confidence in Large Language Models,https://arxiv.org/abs/2605.12446,Abstract,ORCE improves calibration and failure prediction on reasoning and knowledge-intensive benchmarks while largely preserving answer accuracy.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-UNC-002,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,ORCE: Order-Aware Alignment of Verbalized Confidence in Large Language Models,https://arxiv.org/abs/2605.12446,"Introduction, contributions",ORCE learns true correctness probabilities for verbalized confidence without using any model-internal information.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,ORCE uses a sampling-based surrogate of correctness likelihood to supervise verbalized confidence without relying on internal model probabilities.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,True,True,True,False
V317B-UNC-003,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,ORCE: Order-Aware Alignment of Verbalized Confidence in Large Language Models,https://arxiv.org/abs/2605.12446,"Appendix A.4, Limitations of the idealized analysis",ORCE directly maximizes expected Spearman-correlation reward during DPO training.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"ORCE's practical algorithm uses SC to construct preference pairs, and DPO performs a smoothed preference-optimization step rather than directly maximizing expected SC reward.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
V317B-UNC-004,V34H-UNC-001,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,ORCE: Order-Aware Alignment of Verbalized Confidence in Large Language Models,https://arxiv.org/abs/2605.12446,"Section 3.3, Alignment strategy",ORCE adopts DPO to align the confidence LLM with its surrogate using the SC reward.,no,SUPPORT_ONLY,support_only_context,source_background_only,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,False,False,False,True
V317B-UNC-005,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,Unsupervised Confidence Calibration for Reasoning LLMs from a Single Generation,https://arxiv.org/abs/2604.19444,Abstract,The paper proposes unsupervised confidence calibration for reasoning LLMs under a single-generation inference constraint.,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,True,True,True,False
V317B-UNC-006,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,Unsupervised Confidence Calibration for Reasoning LLMs from a Single Generation,https://arxiv.org/abs/2604.19444,"Section 3, Method",The method removes repeated generations from both training and inference by never using self-consistency sampling.,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"The method uses self-consistency offline on unlabeled data to construct supervision for a single-pass confidence predictor, reducing inference-time use to a single generation.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,False,False,False
V317B-UNC-007,V34H-UNC-002,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,Unsupervised Confidence Calibration for Reasoning LLMs from a Single Generation,https://arxiv.org/abs/2604.19444,"Section 4, Experiments",The evaluation runs every model on every math and QA dataset without any model-dataset scope restriction.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,The evaluation covers 36 model/dataset combinations: 9 models on 2 math datasets and 6 models on 3 QA datasets.,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,True,True,True,False
