span_task_id,annotator_a_span_found,annotator_b_span_found,annotator_a_match_type,annotator_b_match_type,section_exact_match,span_exact_match,span_token_jaccard,span_token_containment,annotator_a_span,annotator_b_span
F1CS-021,yes,yes,exact_support,exact_support,no,no,0.214,0.600,clarify the intended use cases,"intended use cases, information about attributes for which model performance may vary"
F1CS-022,partial,yes,narrower_support,exact_support,no,no,0.000,0.000,disaggregated population subgroups,evaluation supplemented with additional considerations such as intended use
F1CS-023,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-024,partial,partial,narrower_support,limitation_boundary,no,no,0.083,0.167,responsible and informed deployment of models,The safety of using the dataset in practice
F1CS-025,partial,partial,narrower_support,limitation_boundary,no,no,0.125,0.222,10 datasets reflecting a diverse range of distribution shifts,models cannot be expected to generalize to arbitrary distribution shifts
F1CS-026,partial,partial,narrower_support,narrower_support,no,no,0.071,0.143,actual shift in a real-world production,benchmarking suite for tabular data under distribution shift
F1CS-027,partial,partial,limitation_boundary,limitation_boundary,yes,no,0.462,1.000,best models still need substantial improvements,best models still need substantial improvements before they can reach expert-level accuracy
F1CS-028,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,Evaluating Models’ Local Decision Boundaries via Contrast Sets,cannot confirm that a model does
F1CS-029,partial,partial,narrower_support,narrower_support,yes,no,0.455,1.000,reproducibility and comparability between papers,Evaluation with publicly available prompts ensures reproducibility and comparability between papers.
F1CS-030,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,marginal coverage guarantee,"it holds on average, not for a particular image X"
F1CS-031,partial,partial,narrower_support,narrower_support,no,yes,1.000,1.000,potential applicability in maintaining the integrity of the peer review process,potential applicability in maintaining the integrity of the peer review process
F1CS-032,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,minimize their usage in contexts,"intended use cases, potential pitfalls"
F1CS-033,partial,partial,narrower_support,limitation_boundary,yes,no,0.000,0.000,domain generalization algorithms are in realistic settings,no algorithm shows state-of-the-art performance across all datasets
F1CS-034,partial,partial,narrower_support,limitation_boundary,no,no,0.143,0.250,current state of the art in image classification,does not guarantee the safety of the benchmarked model
F1CS-035,partial,partial,narrower_support,limitation_boundary,no,no,0.167,0.400,slices of data in RG,performance degradation on 12 slices of up to 18%
F1CS-036,partial,partial,narrower_support,limitation_boundary,no,no,0.077,0.167,reliable confidence measures are absolutely necessary,expected sample accuracy as a function of confidence
F1CS-037,partial,partial,narrower_support,narrower_support,yes,yes,1.000,1.000,higher uncertainty on out-of-distribution examples,higher uncertainty on out-of-distribution examples
F1CS-038,partial,partial,limitation_boundary,narrower_support,no,no,0.000,0.000,trading-off coverage,classify samples in production with any desired level of risk
F1CS-039,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-040,partial,partial,narrower_support,narrower_support,no,no,0.364,0.667,distribution shifts that naturally arise in real-world applications,robust to real-world distribution shifts
F1CS-041,no,no,no_match,out_of_scope_cue,no,no,NA,NA,,
F1CS-042,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-043,partial,no,limitation_boundary,no_match,no,no,NA,NA,intended to mitigate,
F1CS-044,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-045,partial,partial,limitation_boundary,limitation_boundary,no,no,0.167,0.333,external evaluations based on adaptive attacks,could still be broken by new adaptive attacks
F1CS-046,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,General Language Understanding Evaluation (GLUE) benchmark,still leave room for improvement
F1CS-047,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,"practitioner’s task, evaluation needs, and resource constraints",These idioms are not exhaustive
F1CS-048,partial,no,limitation_boundary,out_of_scope_cue,no,no,NA,NA,reliable confidence measures are absolutely necessary,
F1CS-049,no,no,no_match,out_of_scope_cue,no,no,NA,NA,,
F1CS-050,no,no,no_match,out_of_scope_cue,no,no,NA,NA,,
F1CS-051,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-052,no,no,no_match,no_match,no,no,NA,NA,,
F1CS-053,partial,no,absence_boundary,out_of_scope_cue,no,no,NA,NA,broader than warranted by the original study,
F1CS-054,partial,no,absence_boundary,out_of_scope_cue,no,no,NA,NA,no humans or actual manuscripts were involved,
F1CS-055,partial,no,limitation_boundary,no_match,no,no,NA,NA,"restrictions (e.g., licenses, fees)",
F1CS-056,no,no,no_match,out_of_scope_cue,no,no,NA,NA,,
F1CS-057,partial,no,limitation_boundary,no_match,no,no,NA,NA,do not currently taxonomize nor evaluate desiderata,
F1CS-058,no,no,no_match,out_of_scope_cue,no,no,NA,NA,,
F1CS-059,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,world knowledge and problem solving ability,it does not master a single subject
F1CS-060,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,present and near-future capabilities and limitations,unable to reliably predict the scale
F1CS-061,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,new capabilities are as yet poorly characterized,this optimistic extrapolation relies on the limitations of current benchmarks
F1CS-062,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,identifying critical failures,"input-output behavior, without any knowledge"
F1CS-063,partial,partial,limitation_boundary,limitation_boundary,no,no,0.429,0.600,marginal distribution-free prediction interval,"marginal, distribution-free coverage guarantee"
F1CS-064,partial,partial,narrower_support,narrower_support,no,yes,1.000,1.000,General Language Understanding Evaluation (GLUE) benchmark,General Language Understanding Evaluation (GLUE) benchmark
F1CS-065,partial,partial,narrower_support,narrower_support,no,no,0.333,0.667,general linguistic knowledge across tasks,represent linguistic knowledge
F1CS-066,partial,partial,limitation_boundary,limitation_boundary,yes,no,0.111,0.200,scalar summary statistic of calibration,weighted average of all gaps
F1CS-067,partial,partial,narrower_support,narrower_support,yes,no,0.000,0.000,overgeneralizing in 26-73% of cases,most LLMs produced broader generalizations
F1CS-068,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,limited experimental setting,simulated medical peer review
F1CS-069,partial,partial,narrower_support,limitation_boundary,no,no,0.000,0.000,identifying critical failures,"input-output behavior, without any knowledge"
F1CS-070,partial,partial,limitation_boundary,limitation_boundary,no,no,0.562,1.000,no general way to prove that a concrete benchmark faithfully measures performance on an abstract task,no general way to prove that a concrete benchmark
F1CS-071,partial,no,narrower_support,no_match,no,no,NA,NA,framework for evaluating large language models,
F1CS-072,partial,partial,limitation_boundary,limitation_boundary,yes,yes,1.000,1.000,human expert review is and should continue to be the foundation,human expert review is and should continue to be the foundation
F1CS-073,partial,partial,limitation_boundary,limitation_boundary,no,no,0.214,0.429,regulate or prohibit the use of LLMs,Defining the integration of LLMs in peer review will require
F1CS-074,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,not sufficient to assess the suitability of a benchmark,checklist for minimum quality assurance
F1CS-075,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,mitigating harms caused by automated decision-making systems,risks and opportunities of working with ADS
F1CS-076,no,partial,no_match,narrower_support,no,no,NA,NA,,transparency at the dataset level
F1CS-077,partial,partial,limitation_boundary,limitation_boundary,no,no,0.000,0.000,"practitioner’s task, evaluation needs, and resource constraints",These idioms are not exhaustive
F1CS-078,partial,partial,narrower_support,limitation_boundary,no,no,0.333,0.600,under conditions of distributional shift,does not guarantee calibration under distributional shift
F1CS-079,partial,yes,narrower_support,exact_support,yes,no,0.062,0.125,certain populations in the development of technology for other populations,datasets and their represented populations into better focus
F1CS-080,yes,yes,exact_support,exact_support,yes,no,0.000,0.000,YAML config file support via --config,log task and cli specific configs
