span_task_id,paper_id,source_family,title,gold_route_label,post_admission_gold_action,current_boundary_action,curation_priority,claim_level_target_kind,claim_level_span_found,span_match_type,confidence_1_to_5,localization_class,paper_facing_role
F1CS-069,P015,behavioral_testing,Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-070,P019,benchmark_validity,What Will it Take to Fix Benchmarking in Natural Language Understanding?,NEEDS_TEMPLATE_ADMISSION,WEAKEN,needs_adapter,P0_boundary_sensitive,weakening_evidence_or_limitation_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-071,P032,llm_evaluation,OpenAI Evals,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-072,P033,llm_peer_review,Can Large Language Models Provide Useful Feedback on Research Papers?,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-073,P037,llm_peer_review,The AI Review Lottery,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-074,P040,benchmark_validity,BetterBench: Assessing and Improving Benchmark Lifecycle Practices,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-075,P005,dataset_quality,The Dataset Nutrition Label (2nd Gen),NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-076,P005,dataset_quality,The Dataset Nutrition Label (2nd Gen),NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,narrower_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-077,P016,behavioral_robustness,Robustness Gym: Unifying the NLP Evaluation Landscape,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-078,P022,uncertainty_shift,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,NEEDS_TEMPLATE_ADMISSION,SUPPRESS,needs_adapter,P0_boundary_sensitive,suppression_or_absence_boundary_locator,partial,limitation_boundary,5,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-079,P003,dataset_documentation,Data Statements for Natural Language Processing,NEEDS_TEMPLATE_ADMISSION,SUPPORT_ONLY,needs_adapter,P0_boundary_sensitive,support_only_context_locator,yes,exact_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
F1CS-080,P020,llm_evaluation,EleutherAI Language Model Evaluation Harness,NEEDS_TEMPLATE_ADMISSION,SUPPORT_ONLY,needs_adapter,P0_boundary_sensitive,support_only_context_locator,yes,exact_support,4,adapter_evidence_present,adapter_boundary_or_weakening_candidate
