passport_row_id,span_task_id,adapter_id,source_family,tempting_claim,evidence_anchor,G,Q,U,licensed_action,licensed_emitted_claim,forbidden_stronger_claim
CSADAPT-011,F1CS-024,CLAIMSPAN-DATASET-DOC,dataset_documentation,The data card makes the dataset safe for every deployment domain.,The safety of using the dataset in practice,documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,REWRITE,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment."
CSADAPT-012,F1CS-027,CLAIMSPAN-LLM-EVAL,llm_evaluation,A high MMLU score proves expert-level reasoning across all domains.,best models still need substantial improvements before they can reach expert-level accuracy,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,REWRITE,Rewrite to the evaluated scenario/task/prompt/metric surface; do not license broad capability.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-013,F1CS-029,CLAIMSPAN-LLM-EVAL,llm_evaluation,The harness alone makes every benchmark result comparable.,Evaluation with publicly available prompts ensures reproducibility and comparability between papers.,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,REWRITE,Rewrite to the evaluated scenario/task/prompt/metric surface; do not license broad capability.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-014,F1CS-030,CLAIMSPAN-CONFORMAL,conformal_prediction,Each individual prediction is guaranteed correct at the nominal probability.,"it holds on average, not for a particular image X","same as CS-CONF-ACCEPT plus proposed individual, subgroup, or deployment target",whether the evidence states marginal coverage/risk control or explicitly proves a stronger conditional guarantee,reviewer-facing uncertainty guarantee audit,REWRITE,Rewrite to the stated marginal coverage or declared risk-control guarantee under the procedure assumptions.,"Distribution-free marginal coverage automatically entails individual correctness, conditional coverage for every subgroup, or production reliability."
CSADAPT-015,F1CS-039,CLAIMSPAN-DATASET-DOC,dataset_documentation,This dataset validates deployment in the target domain.,"NO_LOCALIZED_SUPPORT_IN_AUDITED_SPAN_LAYER: A/B agree; datasheets document dataset properties and uses, not target-domain deployment validation.",documentation artifact plus proposed downstream/deployment target,"whether the source contains documentation evidence, absence boundary, or risk/safety limitation cue",reviewer-facing dataset overclaim audit,REWRITE,Rewrite deployment-validity or safety language to documentation-context or risk-disclosure wording.,"A datasheet, data statement, data card, or nutrition label guarantees safe or valid deployment."
CSADAPT-016,F1CS-059,CLAIMSPAN-LLM-EVAL,llm_evaluation,A high score establishes general intelligence.,it does not master a single subject,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,WEAKEN,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-017,F1CS-060,CLAIMSPAN-LLM-EVAL,llm_evaluation,Capability extrapolation proves future model behavior.,unable to reliably predict the scale,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,WEAKEN,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-018,F1CS-061,CLAIMSPAN-LLM-EVAL,llm_evaluation,The benchmark extrapolation proves all future model capabilities.,this optimistic extrapolation relies on the limitations of current benchmarks,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,WEAKEN,Weaken to observed benchmark behavior or limitation evidence under the stated evaluation setup.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-019,F1CS-063,CLAIMSPAN-CONFORMAL,conformal_prediction,The interval coverage is conditionally valid for every subgroup.,"marginal, distribution-free coverage guarantee","same as CS-CONF-ACCEPT plus proposed individual, subgroup, or deployment target",whether the evidence states marginal coverage/risk control or explicitly proves a stronger conditional guarantee,reviewer-facing uncertainty guarantee audit,WEAKEN,"Weaken conditional, subgroup, or instance-level language to the source's stated marginal guarantee.","Distribution-free marginal coverage automatically entails individual correctness, conditional coverage for every subgroup, or production reliability."
CSADAPT-020,F1CS-071,CLAIMSPAN-LLM-EVAL,llm_evaluation,An eval harness result certifies product safety for public deployment.,framework for evaluating large language models,same as CS-LEV-ACCEPT plus declared extrapolation or deployment target,whether the evidence is an evaluated metric/configuration or a limitation cue,reviewer-facing capability claim audit,SUPPRESS,Suppress deployment-safety or product-certification language from evaluation-only evidence.,"An eval harness, MMLU/HELM/BIG-bench score, or scaling extrapolation certifies safety or general intelligence."
CSADAPT-021,F1CS-079,CLAIMSPAN-DATASET-DOC,dataset_documentation,The data statement can be used as support-only evidence for dataset population scope.,datasets and their represented populations into better focus,documentation artifact; dataset provenance/composition/use field; represented population or recommended-use cue,presence of a documented field or structured summary in the source,"dataset review, benchmark/resource reporting, documentation adequacy audit",SUPPORT_ONLY,"Use documentation as support-only context for provenance, population scope, or recommended use.","Documentation alone proves deployment validity, fairness, privacy safety, or target-domain performance."
CSADAPT-022,F1CS-080,CLAIMSPAN-LLM-EVAL,llm_evaluation,The harness supports reproducible evaluation configuration reporting.,log task and cli specific configs,scenario set; prompt protocol; task/subject set; metric; evaluation harness/configuration,reported result or configuration evidence under the stated evaluation protocol,"benchmark reporting, model comparison, reproducibility review",SUPPORT_ONLY,"The harness/configuration evidence can support reproducible evaluation reporting, not capability certification.","The benchmark/eval result proves general intelligence, product safety, or future capability."
